date,file_name,implementation,algorithm,time_in_milliseconds,emissions,emissions_rate,energy_consumed,cpu_energy,cpu_emissions,cpu_percentage
2025-06-09 14:25:59,one_million_ints.csv,Python,Quick Sort,2047.4865436553955078,1.7943521374296544e-05,8.669063767784348e-06,4.71020379952659e-05,2.410202650382845e-05,9.181666996633447e-06,51.17
2025-06-09 14:26:18,one_million_ints.csv,Python,Quick Sort,2047.0888614654541016,2.105974238936141e-05,1.009470679739229e-05,5.528216928563174e-05,2.4458305399962035e-05,9.317391442115537e-06,44.24
2025-06-09 14:26:30,one_million_ints.csv,Python,Quick Sort,2044.0764427185058594,2.1055226616028573e-05,1.014758176884043e-05,5.527031530654567e-05,2.4329315852325215e-05,9.26825287394329e-06,44.02
2025-06-09 14:26:41,one_million_ints.csv,Python,Quick Sort,2101.3202667236328125,2.1816756671381737e-05,1.0241806197778953e-05,5.726934419577828e-05,2.530701524559517e-05,9.64070745780948e-06,44.19
2025-06-09 14:26:54,one_million_ints.csv,Python,Quick Sort,2054.0428161621093750,2.1030286773745816e-05,1.0046817869048116e-05,5.520484781138159e-05,2.5188295428397664e-05,9.595481143448092e-06,45.63
2025-06-09 14:34:57,one_million_ints.csv,C++,Quick Sort,90.5556678771972656,8.485511928792177e-07,7.988072149671585e-06,2.2274608029379646e-06,1.1558748135888364e-06,4.4033051023666717e-07,51.89
2025-06-09 14:35:06,one_million_ints.csv,C++,Quick Sort,95.0093269348144531,9.480681785644628e-07,8.53046432244639e-06,2.488694523072484e-06,1.2852374170774922e-06,4.896111940356707e-07,51.64
2025-06-09 14:35:14,one_million_ints.csv,C++,Quick Sort,95.3891277313232422,9.352247186447378e-07,8.601479835191508e-06,2.4549802300688746e-06,1.2025942954067836e-06,4.5812829683521424e-07,48.99
2025-06-09 14:35:23,one_million_ints.csv,C++,Quick Sort,93.2698249816894531,1.066935115574181e-06,9.98784727632752e-06,2.8007221828958686e-06,1.1919642869031438e-06,4.540787950957526e-07,42.56
2025-06-09 14:35:41,one_million_ints.csv,C++,Quick Sort,98.8357067108154297,1.0882961513187092e-06,9.713589315032352e-06,2.8567952521819376e-06,1.252009057163203e-06,4.769528503263223e-07,43.83
2025-06-09 14:28:23,one_million_ints.csv,Python,Heap Sort,5293.1873798370361328,6.207438425065586e-05,1.1593319374992826e-05,0.00016294627707220334,6.235654599630845e-05,2.3754726197293705e-05,38.27
