date,file_name,implementation,algorithm,time_in_milliseconds,emissions,emissions_rate,energy_consumed,cpu_energy,cpu_emissions,cpu_percentage
2025-06-09 15:12:31,ten_million_ints.csv,Python,Quick Sort,30514.7476196289062500,0.0002814572674611131,9.199627202983322e-06,0.0007388299447725767,0.0003541246207994699,0.00013490377429355808,47.93
2025-06-09 15:13:33,ten_million_ints.csv,Python,Quick Sort,29919.9154376983642578,0.0002716352567472063,9.056658829424873e-06,0.0007130470055052009,0.00034602828737796427,0.0001318194760766355,48.53
2025-06-09 15:14:35,ten_million_ints.csv,Python,Quick Sort,30340.6882286071777344,0.00028234220761183277,9.28245674086999e-06,0.0007411529271868559,0.00035998320576411183,0.0001371356022358384,48.57
2025-06-09 15:15:39,ten_million_ints.csv,Python,Quick Sort,31775.3112316131591797,0.0003022231827420163,9.482022891761786e-06,0.0007933408130778745,0.00037306641317511394,0.00014211965009905967,47.02
2025-06-09 15:16:43,ten_million_ints.csv,Python,Quick Sort,30924.7162342071533203,0.00028913475647580715,9.325705834439063e-06,0.00075898347939574,0.00036395061949359535,0.00013864698849608517,47.95
2025-06-09 15:17:28,ten_million_ints.csv,C++,Quick Sort,1019.0446376800537109,1.0072355136253632e-05,9.637769434439654e-06,2.6440097483275054e-05,1.1854920317262013e-05,4.516131894860965e-06,44.84
2025-06-09 15:18:00,ten_million_ints.csv,C++,Quick Sort,1027.3032188415527344,1.0156273884754127e-05,9.650963515812196e-06,2.6660385574889425e-05,1.202044406079135e-05,4.579188164958464e-06,45.09
2025-06-09 15:18:32,ten_million_ints.csv,C++,Quick Sort,1012.7449035644531250,9.97787029708832e-06,9.590356502162026e-06,2.619207323031453e-05,1.1702683251027524e-05,4.458137184478935e-06,44.68
2025-06-09 15:19:04,ten_million_ints.csv,C++,Quick Sort,1022.0355987548828125,9.526000479844126e-06,9.046572614691062e-06,2.5005907546512996e-05,1.1725799380631757e-05,4.466943274051669e-06,46.89
2025-06-09 15:19:35,ten_million_ints.csv,C++,Quick Sort,1024.2302417755126953,1.0020509402089994e-05,9.52834524398148e-06,2.630400158049611e-05,1.173838716847942e-05,4.471738591832236e-06,44.63
2025-06-09 15:22:03,ten_million_ints.csv,Python,Heap Sort,75735.0208759307861328,0.0006541901664305415,8.629604739950507e-06,0.0017172599197546696,0.0008830128902986359,0.00033638376055926536,51.42
2025-06-09 15:23:51,ten_million_ints.csv,Python,Heap Sort,75310.5051517486572266,0.0006512212517359209,8.63925303974207e-06,0.0017094664699722295,0.0008800621984936408,0.00033525969451615246,51.48
2025-06-09 15:25:37,ten_million_ints.csv,Python,Heap Sort,74205.2941322326660156,0.0006375803504442603,8.58362030713575e-06,0.001673658880284185,0.0008580305992017083,0.0003268667567658908,51.27
2025-06-09 15:27:28,ten_million_ints.csv,Python,Heap Sort,78309.7145557403564453,0.0007011434504718985,8.944439868933967e-06,0.0018405130606953628,0.000938380016536745,0.000357475867299673,50.98
2025-06-09 15:29:16,ten_million_ints.csv,Python,Heap Sort,75493.0644035339355469,0.0006550439711468068,8.668368810380174e-06,0.0017195011711426873,0.0008821844310247587,0.0003360681589988819,51.30
2025-06-09 15:31:00,ten_million_ints.csv,C++,Heap Sort,2142.5971984863281250,1.843594049361224e-05,8.543053066250934e-06,4.8394646262271275e-05,2.5267721603050575e-05,9.625738544682117e-06,52.21
2025-06-09 15:31:32,ten_million_ints.csv,C++,Heap Sort,2129.9691200256347656,2.0253686364999274e-05,9.359554270630264e-06,5.3166258997241824e-05,2.5095441743002572e-05,9.560108531996829e-06,47.20
2025-06-09 15:32:07,ten_million_ints.csv,C++,Heap Sort,2154.3231010437011719,2.02985866086922e-05,9.31806277657152e-06,5.328412287358498e-05,2.52569902055768e-05,9.621650418814482e-06,47.40
2025-06-09 15:32:39,ten_million_ints.csv,C++,Heap Sort,2166.0144329071044922,2.076073888962047e-05,9.45872156168547e-06,5.449728019325494e-05,2.5444617022345878e-05,9.69312685466266e-06,46.69
2025-06-09 15:33:12,ten_million_ints.csv,C++,Heap Sort,2165.6625270843505859,2.077722241176636e-05,9.483863935014508e-06,5.4540549709322376e-05,2.550583123798328e-05,9.71644641010973e-06,46.76
2025-06-09 15:35:22,ten_million_ints.csv,Python,Merge Sort,48332.1156501770019531,0.00042449327128587556,8.769276470603701e-06,0.0011143018015116828,0.0005590036269247679,0.00021295243167699035,50.17
2025-06-09 15:36:42,ten_million_ints.csv,Python,Merge Sort,47590.8453464508056641,0.0004116060381342075,8.633371455329493e-06,0.0010804726030560637,0.0005522299298391447,0.0002103719917722222,51.11
